ZIP5,CBSA CODE,CBSA LSAD
46556,43780,Metropolitan Statistical Area
46561,43780,Metropolitan Statistical Area
46561,21140,Metropolitan Statistical Area
46562,47700,Micropolitan Statistical Area
46562,28340,Micropolitan Statistical Area
46562,23060,Metropolitan Statistical Area
46563,38500,Micropolitan Statistical Area
46563,43780,Metropolitan Statistical Area
46563,,
46565,,
46565,21140,Metropolitan Statistical Area
46567,47700,Micropolitan Statistical Area
46567,21140,Metropolitan Statistical Area
46570,38500,Micropolitan Statistical Area
46570,,
46571,,
46571,28340,Micropolitan Statistical Area
46572,38500,Micropolitan Statistical Area
46573,21140,Metropolitan Statistical Area
46573,43780,Metropolitan Statistical Area
46574,43780,Metropolitan Statistical Area
46574,38500,Micropolitan Statistical Area
46574,,
46574,33140,Metropolitan Statistical Area
46580,47700,Micropolitan Statistical Area
46581,47700,Micropolitan Statistical Area
46582,47700,Micropolitan Statistical Area
46590,47700,Micropolitan Statistical Area
46595,43780,Metropolitan Statistical Area
67201,48620,Metropolitan Statistical Area
67202,48620,Metropolitan Statistical Area
67203,48620,Metropolitan Statistical Area
67204,48620,Metropolitan Statistical Area
67205,48620,Metropolitan Statistical Area
67206,48620,Metropolitan Statistical Area
67207,48620,Metropolitan Statistical Area
67208,48620,Metropolitan Statistical Area
67209,48620,Metropolitan Statistical Area
67210,48620,Metropolitan Statistical Area
67211,48620,Metropolitan Statistical Area
67212,48620,Metropolitan Statistical Area
67213,48620,Metropolitan Statistical Area
67214,48620,Metropolitan Statistical Area
67215,48620,Metropolitan Statistical Area
67216,48620,Metropolitan Statistical Area
67217,48620,Metropolitan Statistical Area
67218,48620,Metropolitan Statistical Area
67219,48620,Metropolitan Statistical Area
67220,48620,Metropolitan Statistical Area
67221,48620,Metropolitan Statistical Area
67223,48620,Metropolitan Statistical Area
67226,48620,Metropolitan Statistical Area
67227,48620,Metropolitan Statistical Area
67228,48620,Metropolitan Statistical Area
67230,48620,Metropolitan Statistical Area
67232,48620,Metropolitan Statistical Area
67235,48620,Metropolitan Statistical Area
67260,48620,Metropolitan Statistical Area
67275,48620,Metropolitan Statistical Area
67276,48620,Metropolitan Statistical Area
67277,48620,Metropolitan Statistical Area
